Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,0,122.00,122.00,DSF0000913264
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035525
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035525
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035525
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,84.00,84.00,DSF0001035525
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/1/2023,DIIR,7/7/2023,DIIR,100000.00,0.00,DSF0001008308
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,125000.00,0.00,DSF0001033535
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001086071
18,K285,I.S. 285 - BROOKLYN,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,7/3/2023,DOER,,DOER,750000.00,0.00,DSF0001035524
18,K285,I.S. 285 - BROOKLYN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001035526
18,K285,I.S. 285 - BROOKLYN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,4/8/2022,DOES,,DOES,76791.00,0.00,DSF0001008947
18,K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2021,DIIR,6/30/2021,DIIR,50000.00,50000.00,DSF0001008338
18,K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL - K,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,750000.00,0.00,DSF0001086100
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/26/2018,3/18/2019,4/4/2019,384927,254329.00,241620.00,"DSF0000873417, DSF0000873420, DSF0000873421, DSF0000873422"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,4/9/2019,9/9/2019,5/16/2019,1536089,600595.00,533343.00,"DSF0000873417, DSF0000873420, DSF0000873421, DSF0000873422"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,Complete,9/3/2019,8/17/2022,7/25/2023,28476971,28754169.00,25753007.00,"DSF0000873417, DSF0000873420, DSF0000873421, DSF0000873422"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",Complete,9/3/2019,8/17/2022,7/25/2023,1843358,1672269.00,1599263.00,"DSF0000873417, DSF0000873420, DSF0000873421, DSF0000873422"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Scope,Complete,6/11/2019,12/9/2019,11/27/2019,235000,164100.00,156750.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Design,Complete,3/4/2021,7/23/2021,5/6/2022,1175000,741732.00,592778.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Construction,In-Progress,9/12/2022,9/10/2024,,26437500,23929383.00,3546942.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,"CM,F&E",In-Progress,9/12/2022,9/10/2024,,1645000,298498.00,295545.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,LIGHTING UPGRADE,Scope,Complete,2/22/2022,6/22/2022,3/28/2022,12270,2114.00,2114.00,DSF0001015177
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,LIGHTING UPGRADE,Design,Complete,3/28/2022,8/25/2022,8/25/2022,55215,8455.00,8455.00,DSF0001015177
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,LIGHTING UPGRADE,Construction,In-Progress,2/24/2023,12/20/2023,,711654,802884.00,654087.00,DSF0001015177
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,LIGHTING UPGRADE,"CM,F&E",In-Progress,2/24/2023,12/20/2023,,131901,98322.00,43820.00,DSF0001015177
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,8/9/2023,8/9/2023,8/9/2023,12153,22332.00,97.00,DSF0001085800
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Design,In-Progress,8/10/2023,2/15/2024,,60764,60764.00,389.00,DSF0001085800
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,1367193,1367193.00,0.00,DSF0001085800
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,85070,85070.00,0.00,DSF0001085800
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Scope,Complete,1/5/2022,12/15/2022,1/19/2023,42269,54865.00,54865.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Design,Complete,1/24/2023,5/24/2023,3/15/2023,210211,172425.00,168166.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,4631337,4631337.00,63427.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,304420,304420.00,46032.00,"DSF0001034316, DSF0001034999"
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086114
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,30000,30000.00,0.00,DSF0001086114
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,440000,440000.00,0.00,DSF0001086114
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.00,0.00,DSF0001086114
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086115
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,30000,30000.00,0.00,DSF0001086115
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,440000,440000.00,0.00,DSF0001086115
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.00,0.00,DSF0001086115
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087029
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087029
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087029
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087029
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087030
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087030
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087030
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087030
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,RESO A- CULINARY ARTS KITCHEN,Scope,Complete,11/30/2022,3/6/2023,4/21/2023,0,41325.00,5456.00,DSF0000960977
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,RESO A- CULINARY ARTS KITCHEN,Design,In-Progress,8/10/2023,1/22/2024,,181183,139858.00,3561.00,DSF0000960977
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,RESO A- CULINARY ARTS KITCHEN,Construction,PNS,PNS,PNS,PNS,2657357,2657357.00,13122.00,DSF0000960977
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,RESO A- CULINARY ARTS KITCHEN,"CM,F&E",PNS,PNS,PNS,PNS,181183,181183.00,12272.00,DSF0000960977
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,In-Progress,8/10/2023,11/13/2023,,0,138.00,138.00,DSF0001035566
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,PNS,PNS,PNS,0,552.00,552.00,DSF0001035566
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035566
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035566
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,CTF ROOM CONVERSION,Construction,In-Progress,1/4/2023,FTK,,FTK,1316041.00,315726.00,DSF0001034930
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,4/1/2023,FTK,,FTK,128780.00,30333.00,DSF0001035192
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,LSP- AUDITORIUM UPGRADE,Construction,In-Progress,8/15/2022,FTK,,FTK,526420.00,500169.00,DSF0001034317
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,LSP- GYM UPGRADE,Construction,In-Progress,8/16/2022,FTK,,FTK,515875.00,346310.00,DSF0001015200
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,6/19/2023,FTK,,FTK,26325.00,0.00,DSF0001008321
18,K415,IT TAKES A VILLAGE ACADEMY - K,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,191927.00,0.00,DSF0000959903
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,241000.00,0.00,DSF0000961234
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033590
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033597
18,K415,IT TAKES A VILLAGE ACADEMY - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001035562
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,54175.00,0.00,DSF0001035564
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.00,0.00,DSF0001086113
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,4/13/2023,DOER,,DOER,57318.00,0.00,DSF0000961206
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,150483.00,0.00,DSF0000961207
18,K415,KURT HAHN EXPED LEARNING SCH - K,DOE - RESOA,FY22 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001033589
18,K415,KURT HAHN EXPED LEARNING SCH - K,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001035563
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - Skilled Trades,AUDITORIUM STAGE RIGGING,Construction,In-Progress,12/9/2019,DOES,,DOES,27299.00,10219.00,DSF0000960512
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - Skilled Trades,REPLACE (3) GALVANIZED WATER MAINS & CURB VALVES,Construction,In-Progress,3/31/2022,DOES,,DOES,246870.00,16921.00,DSF0001015190
18,K416,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086116
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Scope,Complete,6/1/2022,11/25/2022,9/15/2022,211895,121413.00,121381.00,"DSF0001015622, DSF0001015621, DSF0001015623"
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Design,Complete,9/28/2022,6/12/2023,4/27/2023,1059470,334981.00,334981.00,"DSF0001015622, DSF0001015621, DSF0001015623"
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,23838075,23862511.00,333953.00,"DSF0001015622, DSF0001015621, DSF0001015623"
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP,PARAPETS / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1483258,1483258.00,23065.00,"DSF0001015622, DSF0001015621, DSF0001015623"
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086133
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,63000,63000.00,0.00,DSF0001086133
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,924000,924000.00,0.00,DSF0001086133
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,63000,63000.00,0.00,DSF0001086133
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087034
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087034
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087034
18,K500,HS FOR INNOVATION IN AD - BKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087034
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Scope,Complete,3/13/2023,6/27/2023,7/18/2023,0,29956.00,4860.00,DSF0001035577
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Design,In-Progress,7/24/2023,12/26/2023,,71712,57911.00,3671.00,DSF0001035577
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,1051780,1051780.00,0.00,DSF0001035577
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,71712,71712.00,3164.00,DSF0001035577
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Scope,Complete,7/10/2023,10/12/2023,8/29/2023,562,562.00,562.00,DSF0001035578
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Design,In-Progress,8/31/2023,1/2/2024,,2248,2248.00,2248.00,DSF0001035578
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,4795,4795.00,0.00,DSF0001035578
18,K500,HS FOR MEDICAL PROFESSIONS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,893,893.00,893.00,DSF0001035578
18,K500,K753 SPED - BROOKLYN,Fast Track Projects,CTF ROOM CONVERSION / PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,6/3/2019,FTK,,FTK,755544.00,571856.00,"DSF0000912166, DSF0000912460"
18,K500,HS FOR MEDICAL PROFESSIONS - K,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001085173
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP,C OF O / LOW-VOLTAGE ELECTRICAL SYSTEMS / ELECTRICAL SYSTEMS,Scope,Complete,5/23/2019,9/23/2019,11/27/2019,59160,54933.00,54933.00,"DSF0000912406, DSF0000942044, DSF0000942050"
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP,C OF O / LOW-VOLTAGE ELECTRICAL SYSTEMS / ELECTRICAL SYSTEMS,Design,Complete,1/3/2020,7/7/2020,9/26/2022,295800,171082.00,155365.00,"DSF0000912406, DSF0000942044, DSF0000942050"
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP,C OF O / LOW-VOLTAGE ELECTRICAL SYSTEMS / ELECTRICAL SYSTEMS,Construction,In-Progress,9/11/2023,3/3/2025,,6655500,5980022.00,547.00,"DSF0000912406, DSF0000942044, DSF0000942050"
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP,C OF O / LOW-VOLTAGE ELECTRICAL SYSTEMS / ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,9/11/2023,3/3/2025,,414120,26399.00,26399.00,"DSF0000912406, DSF0000942044, DSF0000942050"
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,2/16/2023,6/20/2023,,0,17568.00,0.00,DSF0001035580
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,90000,72432.00,0.00,DSF0001035580
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1320000,1320000.00,0.00,DSF0001035580
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,90000,90000.00,1329.00,DSF0001035580
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,In-Progress,2/14/2023,5/16/2023,,0,0.00,0.00,DSF0001035581
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035581
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035581
18,K515,BROOKLYN THEATRE ARTS H.S. - K,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035581
18,K515,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND EQUITY - K,SCA IEH,PO18-REMOVE 9 X 9 ACM FLOOR TILE IN ROOM 464 ROOM DIMENSION IS 25' X 25,Construction,Complete,7/3/2023,IEH,8/20/2023,IEH,42937.00,1254.00,SCA0000072102
18,K515,VICTORY COLLEGIATE HS - K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/1/2023,DIIR,7/21/2023,DIIR,100000.00,66514.00,DSF0001033592
18,K515,BROOKLYN BRIDGE ACADEMY - K,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001035582
18,K515,BROOKLYN BRIDGE ACADEMY - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001086134
18,K515,ACAD FOR CONSERV & THE ENVIR - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086135
18,K515,BROOKLYN THEATRE ARTS H.S. - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086136
18,K515,VICTORY COLLEGIATE HS - K,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001086138
18,K515,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND EQUITY - K,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001086139
18,K515,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND EQUITY - K,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,2/3/2023,DOES,,DOES,697978.00,0.00,DSF0000960847
18,K515,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND EQUITY - K,DOE - Skilled Trades,BCC PLAN REVIEW FOR DSF WORK @ K515,Construction,In-Progress,3/3/2021,DOES,,DOES,9617.00,0.00,SCA0000064029
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,ROOFS,Scope,Complete,7/23/2019,12/9/2019,10/10/2019,12790,17110.00,17110.00,DSF0000911250
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,ROOFS,Design,Complete,10/22/2019,3/26/2020,6/8/2020,63950,80662.00,80614.00,DSF0000911250
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,1438875,1438875.00,90459.00,DSF0000911250
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,89530,89530.00,41940.00,DSF0000911250
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,BOILER REPLACEMENT / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM / VENTILATION / INTRUSION ALARM,Scope,Complete,2/25/2020,7/24/2020,3/25/2021,50050,44664.00,44664.00,"DSF0000957676, DSF0001008851, DSF0001008852, DSF0001006906, DSF0001008853"
18,K818,DISTRICT OFFICE #18 - BROOKLYN,SCA CIP,BOILER REPLACEMENT / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM / VENTILATION / INTRUSION ALARM,Design,Complete,6/7/2021,12/9/2021,12/7/2021,234927,194726.00,148920.00,"DSF0000957676, DSF0001008851, DSF0001008852, DSF0001006906, DSF0001008853"
